lookback,RNN_units,layers,learning_rate,val_loss
30,5,1,0.001,0.16251374781131744
30,5,1,0.01,0.09073460847139359
30,5,1,0.1,0.13537687063217163
30,5,2,0.001,0.1745273917913437
30,5,2,0.01,0.10765773802995682
30,5,2,0.1,0.14710642397403717
30,10,1,0.001,0.3020954430103302
30,10,1,0.01,0.08092695474624634
30,10,1,0.1,7.397943019866943
30,10,2,0.001,0.10306499153375626
30,10,2,0.01,0.06092206388711929
30,10,2,0.1,0.14370565116405487
30,20,1,0.001,0.13934579491615295
30,20,1,0.01,0.05687154829502106
30,20,1,0.1,14.978253364562988
30,20,2,0.001,0.09292484074831009
30,20,2,0.01,0.09487457573413849
30,20,2,0.1,0.15605893731117249
52,5,1,0.001,0.2758088707923889
52,5,1,0.01,0.08730720728635788
52,5,1,0.1,0.12221367657184601
52,5,2,0.001,0.12025981396436691
52,5,2,0.01,0.0778823122382164
52,5,2,0.1,0.12990252673625946
52,10,1,0.001,0.22527198493480682
52,10,1,0.01,0.07489389926195145
52,10,1,0.1,0.11141496151685715
52,10,2,0.001,0.13648250699043274
52,10,2,0.01,0.06711812317371368
52,10,2,0.1,0.12845273315906525
52,20,1,0.001,0.11839532852172852
52,20,1,0.01,0.0574403777718544
52,20,1,0.1,15.57116985321045
52,20,2,0.001,0.03776000067591667
52,20,2,0.01,0.03605395928025246
52,20,2,0.1,0.12182171642780304
104,5,1,0.001,0.5409717559814453
104,5,1,0.01,0.06044568121433258
104,5,1,0.1,0.09607835859060287
104,5,2,0.001,0.10516075789928436
104,5,2,0.01,0.06891762465238571
104,5,2,0.1,0.1094207689166069
104,10,1,0.001,0.11652497947216034
104,10,1,0.01,0.051728393882513046
104,10,1,0.1,0.08362080156803131
104,10,2,0.001,0.06425043195486069
104,10,2,0.01,0.02924414351582527
104,10,2,0.1,0.1033022403717041
104,20,1,0.001,0.09022757411003113
104,20,1,0.01,0.039866577833890915
104,20,1,0.1,3.4434573650360107
104,20,2,0.001,0.046388670802116394
104,20,2,0.01,0.014767187647521496
104,20,2,0.1,242832320.0
